Occ	Fréq	CoFréq	Indice	DistMoy
époux	183	5	2.1042	4.4
aller	1746	21	2.1039	3.3333333
attend	117	4	2.1007	4.75
Mon	1000	14	2.0885	4.785714
thé	118	4	2.0879	3.75
Monseigneur	62	3	2.0835	3.3333333
Poulain	119	4	2.0753	2.75
brisa	21	2	2.0706	3.5
Mulet	21	2	2.0706	4.5
vents	21	2	2.0706	4.5
Ferragus	63	3	2.0645	1.3333334
libre	264	6	2.0502	3.0
venez	265	6	2.0427	1.8333334
mandé	22	2	2.0311	0.5
Martin	22	2	2.0311	0.5
présente	123	4	2.0262	1.75
Parisiens	124	4	2.0142	3.25
voir	3184	33	2.0104	4.4545455
orchestre	66	3	2.0092	4.0
laisse	353	7	2.0007	4.285714
