Occ	Fréq	CoFréq	Indice	DistMoy
.	130450	887	2.0821	4.013529
veille	360	7	2.0801	4.714286
iras	22	2	2.0774	4.5
teneur	22	2	2.0774	1.5
venais	67	3	2.0566	0.6666667
chambre	1749	20	2.0526	5.2
revoir	128	4	2.0489	4.75
pris	1071	14	2.0424	4.785714
papa	203	5	2.019	3.6
achetées	24	2	2.0037	3.5
laissez-aller	24	2	2.0037	3.5
remontant	24	2	2.0037	3.5
