Référence	ContexteGauche	Pivot	ContexteDroit
TXM_etude_des_moeurs	du thé pour rester éveillé jusqu’à deux	heures du matin	, afin de pouvoir vous dire solennellement : Mariez -vous. Ne
TXM_etude_des_moeurs	chevaux de fiacre. Levés vers les sept	heures du matin	en été comme en hiver, après leur déjeuner ils allaient donner
TXM_etude_des_moeurs	se présentait chez ces grandes dames à dix	heures du matin	.) Enfin, les quartiers de ses rentes étaient payés chez
TXM_etude_des_moeurs	associé. Schmucke et Pons, à deux	heures du matin	, rentrèrent chez eux par les boulevards, en philosophant à perte
TXM_etude_des_moeurs	. Quelques jours après, sur les sept	heures du matin	, en voyant Rémonencq occupé d’ouvrir sa boutique, elle alla
TXM_etude_des_moeurs	des exceptions grandioses. Le lendemain à six	heures du matin	, madame Cibot examinait, rue de la Perle, la maison
TXM_etude_des_moeurs	partit en cabriolet de remise sur les dix	heures du matin	pour la rue de Hanovre, où il espérait pouvoir obtenir une
TXM_etude_des_moeurs	aux yeux. Le lendemain, à six	heures du matin	, Élie Magus et Rémonencq décrochèrent chacun leurs tableaux. Deux quittances
TXM_etude_des_moeurs	les prieras d’être ici demain à neuf	heures du matin	, de venir demander de mes nouvelles, en ayant l’air
TXM_etude_des_moeurs	aller lire le testament entre deux et trois	heures du matin	. La visite de mademoiselle Héloïse Brisetout, à dix heures et
TXM_etude_des_moeurs	j’irai relever monsieur Schmucke sur les quatre	heures du matin	, et, si vous voulez venir, vous aurez le testament
TXM_etude_des_moeurs	pendant la nuit … Il était environ trois	heures du matin	. À trois heures et demie, selon les prévisions de Pons
TXM_etude_des_moeurs	le prêtre s’en alla. À sept	heures du matin	, le docteur Poulain vint voir Schmucke affectueusement et voulut l’obliger
TXM_etude_des_moeurs	une hache ; et, sur les deux	heures du matin	, tous sortent par des issues différentes. Les moments acquéraient du
TXM_etude_des_moeurs	nuit, ils s’en vont à huit	heures du matin	. Ils se disent auteurs ; mais je ne sais pas où
TXM_etude_des_moeurs	le vieillard courut chez lui. À huit	heures du matin	, le lendemain, Godefroid frappait à la porte du célèbre médecin
TXM_etude_des_moeurs	n’était rentré chez lui qu’à deux	heures du matin	. Le vieillard, venu à une heure et demie à la
TXM_etude_des_moeurs	, et attendit le jour. À neuf	heures du matin	, il se présenta chez le médecin, et lui demanda pourquoi
TXM_etude_des_moeurs	belle voûte que celle qui brillait à deux	heures du matin	, je vous assure qu’il faisait froid dans le palais où
TXM_etude_des_moeurs	lesté de sa tasse de café dès huit	heures du matin	, il sortait avec une exactitude d’horloge, et passait par
TXM_etude_des_moeurs	ou quinze salons de huit heures à trois	heures du matin	. A l’Opéra, il causait avec les journalistes, car
TXM_etude_des_moeurs	Paris à sept heures et demie ou huit	heures du matin	, en hiver, que vous voyez, par un froid piquant
TXM_etude_des_moeurs	du Martroi. De six heures à huit	heures du matin	, il tenait les livres d’une forte maison de nouveautés de
TXM_etude_des_moeurs	lesté de sa tasse de café dès huit	heures du matin	, il sortait avec une exactitude d’horloge, et passait par
TXM_etude_des_moeurs	ou quinze salons de huit heures à trois	heures du matin	. À l’Opéra, il causait avec les journalistes, car
TXM_etude_des_moeurs	Paris à sept heures et demie ou huit	heures du matin	, en hiver, que vous voyez, par un froid piquant
TXM_etude_des_moeurs	du Martroi. De six heures à huit	heures du matin	, il tenait les livres d’une forte maison de nouveautés de
TXM_etude_des_moeurs	, Colleville tenait de sept heures à neuf	heures du matin	, les livres d’un négociant. A dix heures, il
TXM_etude_des_moeurs	leurs rebuts et qu’ils vident à six	heures du matin	à leurs portes quand les regrattiers n’en veulent plus … cet
TXM_etude_des_moeurs	commençait ses opérations le mardi, vers trois	heures du matin	en été, vers cinq heures en hiver ; l’heure de
TXM_etude_des_moeurs	; je vais à la messe à six	heures du matin	, quand on ne me voit pas ; je fais maigre le
TXM_etude_des_moeurs	y prendre avec elle ? Jusqu’à deux	heures du matin	, ils passèrent le temps à se dire les bêtises que les
TXM_etude_des_moeurs	voix. « Vous partirez demain à cinq	heures du matin	, on vous conduira chez un Garde au fond de la forêt
TXM_etude_des_moeurs	écria Lucien. Le lendemain, à sept	heures du matin	, en s’éveillant dans cette charmante chambre rose et blanche,
TXM_etude_des_moeurs	la rue, il entendit, à deux	heures du matin	, la voiture de sa maîtresse dès le boulevard. Son cœur
TXM_etude_des_moeurs	par lui, dura de minuit à deux	heures du matin	. --_Ichénie_, dit enfin le baron en appelant Europe, _optenez
TXM_etude_des_moeurs	, dans la nuit même, à deux	heures du matin	, Asie arriva quai Malaquais en fiacre, et trouva le chauffeur
TXM_etude_des_moeurs	en riant, qu’on atteignit à quatre	heures du matin	. Bixiou crut avoir remporté l’une de ces victoires si plaisamment
TXM_etude_des_moeurs	, madame du Val-Noble était, à neuf	heures du matin	, assise au chevet du lit d’Esther et y pleurait,
TXM_etude_des_moeurs	auberge du côté de Nemours. Vers six	heures du matin	, le lendemain, il s’en alla seul, à pied
TXM_etude_des_moeurs	-il, d’illicite, faite à sept	heures du matin	. — « Allez dire à votre maître, répondit -il avec
TXM_etude_des_moeurs	certaine heure, fût -ce minuit ou six	heures du matin	, dix heures ou cinq heures, les moments les plus incommodes
TXM_etude_des_moeurs	mois d’avril 1839, sur les dix	heures du matin	, le salon de madame Marion, veuve d’un ancien receveur
TXM_etude_des_moeurs	Achille Pigoult ; mais il est bientôt deux	heures du matin	et le sommeil me gagne : à demain donc, si j’
TXM_etude_des_moeurs	clapoter ses flots. 4 mai, cinq	heures du matin	. J’avais compté sur un sommeil embelli par les plus beaux
TXM_etude_des_moeurs	mot que vous fîtes porter, à trois	heures du matin	, chez un monsieur de Saint-Estève, la police se mit si
TXM_etude_des_moeurs	une de leurs ruses habituelles. A six	heures du matin	, au petit jour, les deux agents revinrent. Après avoir
TXM_etude_des_moeurs	côté dangereux. Marthe arriva sur les trois	heures du matin	à la mare, où elle laissa Couraut en sentinelle. Après
